DATE, TIME, LAST, HIGH, LOW, VOLUME, before Sept 29 2014: 24 hour high low volume and after: high low total value of trades in the last interval - AS IS
20140401, 054500, ltc_btc, 0.02766, 0.02829, 0.02763, 2652.42885
20140401, 060000, ltc_btc, 0.02778, 0.02826, 0.02763, 2634.2202
20140401, 070000, ltc_btc, 0.02778, 0.02826, 0.02763, 2584.23415
20140401, 080000, ltc_btc, 0.02741, 0.02826, 0.02742, 2726.96564
20140401, 090000, ltc_btc, 0.02739, 0.02826, 0.02737, 2631.42104
20140401, 100000, ltc_btc, 0.02736, 0.02819, 0.02733, 2613.47025
20140401, 110000, ltc_btc, 0.02726, 0.02819, 0.0272, 3139.00407
20140401, 120000, ltc_btc, 0.02735, 0.02819, 0.0272, 3124.71786
20140401, 130000, ltc_btc, 0.02731, 0.02819, 0.0272, 3097.62708
20140401, 140000, ltc_btc, 0.02743, 0.02819, 0.0272, 3129.78449
20140401, 150000, ltc_btc, 0.02733, 0.02819, 0.0272, 3137.55096
20140401, 160000, ltc_btc, 0.02737, 0.02819, 0.0272, 3248.91485
20140401, 170000, ltc_btc, 0.02732, 0.02819, 0.0272, 3291.34708
20140401, 180000, ltc_btc, 0.0274, 0.02819, 0.0272, 3261.96144
20140401, 190000, ltc_btc, 0.02726, 0.02819, 0.0272, 3467.99974
20140401, 200000, ltc_btc, 0.02723, 0.02819, 0.0272, 3524.19117
20140401, 210000, ltc_btc, 0.02722, 0.02819, 0.02718, 3547.33466
20140401, 220000, ltc_btc, 0.02739, 0.02819, 0.02718, 3530.0458
20140401, 230000, ltc_btc, 0.02736, 0.02819, 0.02718, 3527.93268
20140402, 000000, ltc_btc, 0.02726, 0.02819, 0.02718, 3396.07066
20140402, 010000, ltc_btc, 0.02756, 0.02812, 0.02718, 3401.71625
20140402, 020000, ltc_btc, 0.02738, 0.02808, 0.02718, 3124.89902
20140402, 030000, ltc_btc, 0.02713, 0.02789, 0.02712, 3186.20805
20140402, 040000, ltc_btc, 0.0271, 0.02789, 0.0271, 3198.02892
20140402, 050000, ltc_btc, 0.02711, 0.02783, 0.02699, 3487.05182
20140402, 060000, ltc_btc, 0.02713, 0.02783, 0.02685, 3636.02231
20140402, 070000, ltc_btc, 0.02693, 0.02778, 0.02681, 3873.56101
20140402, 080000, ltc_btc, 0.02676, 0.02764, 0.02668, 3921.68733
20140402, 090000, ltc_btc, 0.02658, 0.02764, 0.02655, 4148.2001
20140402, 100000, ltc_btc, 0.02637, 0.02764, 0.0264, 4353.14469
20140402, 110000, ltc_btc, 0.02613, 0.02764, 0.0258, 4778.30451
20140402, 120000, ltc_btc, 0.02605, 0.02764, 0.02572, 5439.33617
20140402, 130000, ltc_btc, 0.0256, 0.02764, 0.02558, 5955.21186
20140402, 140000, ltc_btc, 0.02582, 0.02764, 0.02551, 6348.09089
20140402, 150000, ltc_btc, 0.02576, 0.02764, 0.02551, 6474.44101
20140402, 160000, ltc_btc, 0.02578, 0.02764, 0.02551, 6420.87603
20140402, 170000, ltc_btc, 0.02607, 0.02764, 0.02551, 6412.10975
20140402, 180000, ltc_btc, 0.02524, 0.02764, 0.02521, 7299.12022
20140402, 190000, ltc_btc, 0.02485, 0.02764, 0.02481, 7777.98898
20140402, 200000, ltc_btc, 0.0253, 0.02764, 0.02471, 8020.41682
20140402, 210000, ltc_btc, 0.02521, 0.02764, 0.02471, 8105.76028
