DATE, TIME, LAST, HIGH, LOW, VOLUME, before Sept 29 2014: 24 hour high low volume and after: high low total value of trades in the last interval - AS IS
20140401, 054500, nmc_usd, 2.405, 2.499, 2.234, 55778.48191
20140401, 060000, nmc_usd, 2.339, 2.499, 2.234, 73109.69562
20140401, 070000, nmc_usd, 2.378, 2.499, 2.235, 74999.25594
20140401, 080000, nmc_usd, 2.374, 2.499, 2.235, 76260.5303
20140401, 090000, nmc_usd, 2.388, 2.499, 2.235, 76669.60938
20140401, 100000, nmc_usd, 2.418, 2.499, 2.235, 78249.00609
20140401, 110000, nmc_usd, 2.388, 2.499, 2.235, 78685.45452
20140401, 120000, nmc_usd, 2.374, 2.499, 2.235, 77892.17652
20140401, 130000, nmc_usd, 2.374, 2.499, 2.235, 77062.15562
20140401, 140000, nmc_usd, 2.347, 2.499, 2.235, 79119.06245
20140401, 150000, nmc_usd, 2.39, 2.499, 2.235, 80053.6111
20140401, 160000, nmc_usd, 2.342, 2.499, 2.26, 79551.19895
20140401, 170000, nmc_usd, 2.361, 2.499, 2.274, 79376.07257
20140401, 180000, nmc_usd, 2.331, 2.499, 2.276, 79227.7952
20140401, 190000, nmc_usd, 2.35, 2.499, 2.279, 78811.35246
20140401, 200000, nmc_usd, 2.365, 2.499, 2.28, 78155.71766
20140401, 210000, nmc_usd, 2.349, 2.499, 2.28, 76759.1061
20140401, 220000, nmc_usd, 2.349, 2.499, 2.28, 78582.11988
20140401, 230000, nmc_usd, 2.289, 2.499, 2.288, 86663.04182
20140402, 000000, nmc_usd, 2.315, 2.499, 2.288, 86901.88047
20140402, 010000, nmc_usd, 2.325, 2.499, 2.289, 81735.8374
20140402, 020000, nmc_usd, 2.33, 2.433, 2.289, 60001.28058
20140402, 030000, nmc_usd, 2.383, 2.433, 2.289, 59285.94872
20140402, 040000, nmc_usd, 2.354, 2.428, 2.289, 60067.52089
20140402, 050000, nmc_usd, 2.342, 2.428, 2.289, 60081.66435
20140402, 060000, nmc_usd, 2.31, 2.428, 2.289, 42629.71194
20140402, 070000, nmc_usd, 2.26, 2.428, 2.26, 42882.93601
20140402, 080000, nmc_usd, 2.197, 2.428, 2.2, 48536.68827
20140402, 090000, nmc_usd, 2.158, 2.428, 2.103, 64955.76116
20140402, 100000, nmc_usd, 2.087, 2.42, 2.056, 84673.40964
20140402, 110000, nmc_usd, 1.996, 2.39, 1.958, 115031.21886
20140402, 120000, nmc_usd, 2.064, 2.39, 1.953, 119633.88112
20140402, 130000, nmc_usd, 2.002, 2.39, 1.953, 122992.36698
20140402, 140000, nmc_usd, 1.997, 2.39, 1.951, 126490.18989
20140402, 150000, nmc_usd, 1.996, 2.383, 1.951, 130492.60449
20140402, 160000, nmc_usd, 1.952, 2.383, 1.8, 143394.6338
20140402, 170000, nmc_usd, 1.946, 2.383, 1.8, 148915.73728
20140402, 180000, nmc_usd, 1.814, 2.383, 1.7, 170911.69985
20140402, 190000, nmc_usd, 1.823, 2.383, 1.7, 194755.43243
20140402, 200000, nmc_usd, 1.833, 2.383, 1.696, 204403.80235
20140402, 210000, nmc_usd, 1.84, 2.383, 1.696, 205580.82464
20140402, 220000, nmc_usd, 1.812, 2.383, 1.696, 213534.7704
20140402, 230000, nmc_usd, 1.812, 2.383, 1.696, 211850.08372
20140403, 000000, nmc_usd, 1.763, 2.383, 1.696, 215686.55195
20140403, 020000, nmc_usd, 1.755, 2.383, 1.661, 215340.51701
20140403, 030000, nmc_usd, 1.793, 2.376, 1.661, 223196.72594
20140403, 040000, nmc_usd, 1.87, 2.368, 1.661, 232048.14458
20140403, 050000, nmc_usd, 1.879, 2.368, 1.661, 233038.04709
20140403, 060000, nmc_usd, 1.876, 2.31, 1.661, 231957.49526
20140403, 070000, nmc_usd, 1.82, 2.284, 1.661, 229124.04413
20140403, 080000, nmc_usd, 1.83, 2.21, 1.661, 222508.92511
20140403, 090000, nmc_usd, 1.853, 2.158, 1.661, 208467.93444
20140403, 100000, nmc_usd, 1.924, 2.088, 1.661, 190297.25152
20140403, 110000, nmc_usd, 1.928, 2.068, 1.661, 162902.79054
20140403, 130000, nmc_usd, 1.953, 2.031, 1.661, 173910.29443
20140403, 140000, nmc_usd, 1.941, 2.031, 1.661, 175755.47365
20140403, 150000, nmc_usd, 1.96, 2, 1.661, 175330.67546
20140403, 160000, nmc_usd, 1.997, 2, 1.661, 164534.65236
20140403, 170000, nmc_usd, 1.975, 2, 1.661, 160387.42484
20140403, 180000, nmc_usd, 1.929, 2, 1.661, 139841.82025
20140403, 190000, nmc_usd, 1.976, 2, 1.661, 116319.39571
20140403, 200000, nmc_usd, 1.943, 2, 1.661, 106969.94825
20140403, 210000, nmc_usd, 1.933, 2, 1.661, 108178.02999
20140403, 220000, nmc_usd, 1.897, 2, 1.661, 98962.31823
20140403, 230000, nmc_usd, 1.902, 2, 1.661, 92696.15159
20140404, 000000, nmc_usd, 1.92, 2, 1.661, 89609.12736
20140404, 010000, nmc_usd, 1.952, 2, 1.73, 84037.32555
20140404, 020000, nmc_usd, 1.923, 2, 1.743, 82442.05738
20140404, 030000, nmc_usd, 1.938, 2, 1.765, 73160.49458
20140404, 040000, nmc_usd, 1.942, 2, 1.814, 63800.54467
20140404, 050000, nmc_usd, 1.959, 2, 1.814, 64687.06834
20140404, 060000, nmc_usd, 1.985, 2, 1.814, 64607.56913
20140404, 070000, nmc_usd, 1.917, 2, 1.814, 66879.46692
20140404, 080000, nmc_usd, 1.921, 2, 1.831, 65986.5429
20140404, 090000, nmc_usd, 1.915, 2, 1.85, 66459.10702
20140404, 100000, nmc_usd, 1.943, 2, 1.85, 66979.10549
20140404, 110000, nmc_usd, 1.953, 2, 1.85, 63462.22487
20140404, 120000, nmc_usd, 1.951, 2, 1.85, 48697.48208
20140404, 130000, nmc_usd, 1.907, 2, 1.85, 45679.72357
20140404, 140000, nmc_usd, 1.928, 2, 1.89, 38439.84214
20140404, 150000, nmc_usd, 1.928, 2, 1.89, 33698.60059
20140404, 160000, nmc_usd, 1.926, 2, 1.89, 30779.96498
20140404, 170000, nmc_usd, 1.91, 1.986, 1.89, 29217.21857
20140404, 180000, nmc_usd, 1.913, 1.986, 1.89, 28299.20172
20140404, 190000, nmc_usd, 1.907, 1.986, 1.89, 30884.2997
20140404, 200000, nmc_usd, 1.95, 2, 1.89, 36961.23353
20140404, 210000, nmc_usd, 1.959, 2, 1.89, 35026.7834
20140404, 220000, nmc_usd, 1.955, 2, 1.893, 35305.52944
20140404, 230000, nmc_usd, 1.955, 2, 1.893, 36113.05457
20140405, 000000, nmc_usd, 1.935, 2, 1.9, 39262.24365
20140405, 010000, nmc_usd, 1.934, 2, 1.9, 41458.83331
20140405, 020000, nmc_usd, 1.944, 2, 1.9, 41236.52154
20140405, 030000, nmc_usd, 1.921, 2, 1.9, 42145.06028
20140405, 040000, nmc_usd, 1.922, 2, 1.9, 41768.05166
20140405, 050000, nmc_usd, 1.911, 2, 1.9, 40564.38232
20140405, 060000, nmc_usd, 1.934, 2, 1.9, 40427.19295
20140405, 070000, nmc_usd, 1.935, 2, 1.9, 37719.06889
20140405, 080000, nmc_usd, 1.917, 2, 1.9, 37645.81688
20140405, 090000, nmc_usd, 1.937, 2, 1.9, 36908.1832
20140405, 100000, nmc_usd, 1.94, 2, 1.9, 33358.64419
20140405, 110000, nmc_usd, 1.912, 2, 1.9, 34685.21429
20140405, 120000, nmc_usd, 1.912, 2, 1.9, 34335.66374
20140405, 130000, nmc_usd, 1.942, 2, 1.9, 34348.92433
20140405, 140000, nmc_usd, 1.942, 2, 1.9, 38368.14265
20140405, 150000, nmc_usd, 1.926, 2, 1.9, 38544.8461
20140405, 160000, nmc_usd, 1.925, 2, 1.9, 37538.76183
20140405, 170000, nmc_usd, 1.973, 2, 1.9, 63463.03838
20140405, 180000, nmc_usd, 1.972, 2, 1.901, 65273.72075
20140405, 190000, nmc_usd, 1.93, 2, 1.907, 64347.83598
20140405, 200000, nmc_usd, 1.937, 2, 1.91, 57766.34265
20140405, 210000, nmc_usd, 1.972, 2, 1.91, 60990.17467
20140405, 220000, nmc_usd, 1.968, 2, 1.91, 61729.16231
20140405, 230000, nmc_usd, 1.988, 2, 1.91, 61765.55488
20140406, 000000, nmc_usd, 1.987, 2, 1.91, 57151.89683
20140406, 010000, nmc_usd, 1.986, 2, 1.91, 54467.72266
20140406, 020000, nmc_usd, 1.985, 2, 1.91, 54247.32056
20140406, 030000, nmc_usd, 1.955, 2, 1.91, 54124.13496
20140406, 040000, nmc_usd, 1.955, 2, 1.91, 55315.74345
20140406, 050000, nmc_usd, 1.926, 2, 1.91, 58053.48593
20140406, 060000, nmc_usd, 1.95, 2, 1.91, 59534.79475
20140406, 070000, nmc_usd, 1.961, 2, 1.91, 59538.14344
20140406, 080000, nmc_usd, 1.958, 2, 1.91, 59990.22442
20140406, 100000, nmc_usd, 1.958, 2, 1.912, 57283.72707
20140406, 110000, nmc_usd, 1.96, 2, 1.912, 56443.93624
20140406, 120000, nmc_usd, 1.974, 2, 1.913, 56769.93111
20140406, 130000, nmc_usd, 1.978, 2, 1.917, 57395.27206
20140406, 140000, nmc_usd, 1.97, 2, 1.924, 54539.3043
20140406, 150000, nmc_usd, 1.97, 2, 1.924, 53946.93135
20140406, 160000, nmc_usd, 1.966, 2, 1.924, 56749.19373
20140406, 170000, nmc_usd, 1.965, 1.999, 1.924, 31038.1215
20140406, 180000, nmc_usd, 1.967, 1.999, 1.924, 28723.40038
20140406, 190000, nmc_usd, 1.946, 1.999, 1.924, 27621.42101
20140406, 200000, nmc_usd, 1.954, 1.999, 1.92, 32100.85365
20140406, 210000, nmc_usd, 1.954, 1.999, 1.92, 28320.7954
20140406, 220000, nmc_usd, 1.939, 1.999, 1.92, 25507.67168
20140406, 230000, nmc_usd, 1.965, 1.999, 1.92, 24756.53121
20140407, 000000, nmc_usd, 1.947, 1.989, 1.92, 24656.70232
20140407, 010000, nmc_usd, 1.947, 1.985, 1.92, 23612.56979
20140407, 020000, nmc_usd, 1.952, 1.982, 1.92, 23614.15132
20140407, 030000, nmc_usd, 1.952, 1.982, 1.92, 22792.3222
20140407, 040000, nmc_usd, 1.947, 1.982, 1.92, 21939.07798
20140407, 050000, nmc_usd, 1.94, 1.982, 1.92, 18483.59654
20140407, 060000, nmc_usd, 1.952, 1.982, 1.92, 18359.61789
20140407, 070000, nmc_usd, 1.953, 1.982, 1.92, 18247.67499
20140407, 080000, nmc_usd, 1.925, 1.982, 1.92, 23475.06019
20140407, 090000, nmc_usd, 1.924, 1.982, 1.92, 27913.25651
20140407, 100000, nmc_usd, 1.939, 1.982, 1.92, 30791.05724
20140407, 110000, nmc_usd, 1.933, 1.982, 1.92, 31428.29574
20140407, 120000, nmc_usd, 1.923, 1.982, 1.92, 31046.16244
20140407, 130000, nmc_usd, 1.92, 1.978, 1.92, 29772.42293
20140407, 140000, nmc_usd, 1.9, 1.97, 1.906, 31605.00843
20140407, 150000, nmc_usd, 1.916, 1.97, 1.891, 32049.50593
20140407, 160000, nmc_usd, 1.896, 1.97, 1.891, 29388.49381
20140407, 170000, nmc_usd, 1.899, 1.97, 1.891, 29078.1908
20140407, 180000, nmc_usd, 1.881, 1.97, 1.88, 32196.79909
20140407, 190000, nmc_usd, 1.886, 1.969, 1.88, 32797.07007
20140407, 200000, nmc_usd, 1.899, 1.969, 1.88, 28910.94545
20140407, 210000, nmc_usd, 1.904, 1.969, 1.88, 28938.48892
20140407, 220000, nmc_usd, 1.899, 1.969, 1.88, 29259.22267
20140407, 230000, nmc_usd, 1.894, 1.969, 1.88, 32050.944
20140408, 000000, nmc_usd, 1.896, 1.969, 1.88, 31957.63787
20140408, 010000, nmc_usd, 1.914, 1.969, 1.88, 31997.59393
20140408, 020000, nmc_usd, 1.895, 1.969, 1.88, 32497.79362
20140408, 030000, nmc_usd, 1.896, 1.969, 1.88, 33164.07177
20140408, 040000, nmc_usd, 1.895, 1.969, 1.88, 33717.80863
20140408, 050000, nmc_usd, 1.882, 1.969, 1.88, 38146.95777
20140408, 060000, nmc_usd, 1.884, 1.969, 1.88, 36143.00059
20140408, 070000, nmc_usd, 1.889, 1.969, 1.88, 36198.2243
20140408, 080000, nmc_usd, 1.911, 1.944, 1.88, 31230.45102
20140408, 090000, nmc_usd, 1.888, 1.94, 1.88, 26040.5088
20140408, 100000, nmc_usd, 1.906, 1.94, 1.88, 23128.48498
20140408, 110000, nmc_usd, 1.909, 1.939, 1.88, 22033.07579
20140408, 120000, nmc_usd, 1.882, 1.939, 1.88, 23716.24585
20140408, 130000, nmc_usd, 1.882, 1.927, 1.88, 23832.05661
20140408, 140000, nmc_usd, 1.882, 1.922, 1.88, 20120.94868
20140408, 150000, nmc_usd, 1.882, 1.922, 1.88, 20442.69289
20140408, 160000, nmc_usd, 1.899, 1.922, 1.88, 20158.01126
20140408, 170000, nmc_usd, 1.897, 1.922, 1.88, 20266.7238
20140408, 180000, nmc_usd, 1.904, 1.922, 1.88, 17720.84823
20140408, 190000, nmc_usd, 1.904, 1.922, 1.88, 16704.88296
