DATE, TIME, LAST, HIGH, LOW, VOLUME, before Sept 29 2014: 24 hour high low volume and after: high low total value of trades in the last interval - AS IS
20140401, 054500, nvc_btc, 0.01128, 0.01295, 0.01091, 154.26825
20140401, 060000, nvc_btc, 0.01139, 0.01295, 0.01091, 155.06687
20140401, 070000, nvc_btc, 0.01117, 0.01295, 0.01091, 155.72492
20140401, 080000, nvc_btc, 0.01115, 0.01295, 0.01091, 155.06006
20140401, 090000, nvc_btc, 0.01122, 0.01295, 0.01091, 154.23554
20140401, 100000, nvc_btc, 0.01123, 0.01295, 0.01101, 154.12214
20140401, 110000, nvc_btc, 0.01136, 0.01295, 0.01106, 157.72451
20140401, 120000, nvc_btc, 0.01139, 0.01295, 0.01108, 157.28781
20140401, 130000, nvc_btc, 0.01127, 0.01295, 0.01109, 158.43762
20140401, 140000, nvc_btc, 0.01128, 0.01295, 0.0111, 157.27477
20140401, 150000, nvc_btc, 0.01127, 0.01295, 0.01111, 156.54154
20140401, 160000, nvc_btc, 0.01125, 0.01295, 0.01111, 150.26804
20140401, 170000, nvc_btc, 0.01124, 0.01295, 0.01111, 147.11473
20140401, 180000, nvc_btc, 0.01134, 0.01295, 0.01111, 145.54695
20140401, 190000, nvc_btc, 0.011, 0.01295, 0.011, 150.58713
20140401, 200000, nvc_btc, 0.01116, 0.01295, 0.011, 146.72069
20140401, 210000, nvc_btc, 0.011, 0.01295, 0.011, 144.84678
20140401, 220000, nvc_btc, 0.01111, 0.01295, 0.011, 144.45616
20140401, 230000, nvc_btc, 0.01097, 0.01295, 0.01087, 141.46333
20140402, 000000, nvc_btc, 0.01073, 0.01295, 0.01067, 142.76455
20140402, 010000, nvc_btc, 0.01081, 0.01295, 0.01067, 142.65823
20140402, 020000, nvc_btc, 0.0107, 0.01295, 0.01067, 141.30655
20140402, 030000, nvc_btc, 0.01064, 0.01295, 0.01063, 103.24401
20140402, 040000, nvc_btc, 0.01069, 0.01153, 0.01063, 50.09139
20140402, 050000, nvc_btc, 0.01072, 0.01153, 0.01063, 36.98667
20140402, 060000, nvc_btc, 0.0109, 0.01153, 0.01063, 37.2811
20140402, 070000, nvc_btc, 0.01092, 0.01153, 0.01063, 37.62062
20140402, 080000, nvc_btc, 0.01084, 0.01153, 0.01063, 40.46001
20140402, 090000, nvc_btc, 0.01071, 0.01153, 0.01063, 42.72279
20140402, 100000, nvc_btc, 0.01077, 0.01153, 0.0106, 45.02888
20140402, 110000, nvc_btc, 0.01084, 0.01142, 0.01058, 41.68635
20140402, 120000, nvc_btc, 0.01075, 0.01139, 0.01058, 43.10823
20140402, 130000, nvc_btc, 0.01092, 0.01134, 0.01058, 42.75759
20140402, 140000, nvc_btc, 0.01061, 0.01134, 0.0105, 46.76815
20140402, 150000, nvc_btc, 0.01058, 0.01134, 0.0105, 45.50682
20140402, 160000, nvc_btc, 0.01054, 0.01134, 0.0105, 45.47259
20140402, 170000, nvc_btc, 0.01031, 0.01134, 0.00996, 53.5325
20140402, 180000, nvc_btc, 0.01075, 0.01129, 0.00996, 57.28501
20140402, 190000, nvc_btc, 0.01045, 0.01116, 0.00996, 48.41167
20140402, 200000, nvc_btc, 0.01046, 0.01116, 0.00996, 48.59232
20140402, 210000, nvc_btc, 0.01049, 0.01115, 0.00996, 48.42254
20140402, 220000, nvc_btc, 0.01031, 0.01115, 0.00996, 49.86744
20140402, 230000, nvc_btc, 0.0102, 0.01101, 0.00996, 47.33717
20140403, 000000, nvc_btc, 0.01014, 0.01101, 0.00996, 41.19681
20140403, 020000, nvc_btc, 0.0102, 0.01101, 0.00996, 47.34277
20140403, 030000, nvc_btc, 0.01027, 0.01101, 0.00996, 45.08554
20140403, 040000, nvc_btc, 0.01011, 0.01101, 0.00996, 45.18258
20140403, 050000, nvc_btc, 0.01013, 0.01101, 0.00996, 45.1076
20140403, 060000, nvc_btc, 0.01019, 0.01101, 0.00996, 44.3477
20140403, 070000, nvc_btc, 0.01021, 0.01101, 0.00996, 43.89131
20140403, 080000, nvc_btc, 0.01, 0.01092, 0.00996, 41.10738
20140403, 090000, nvc_btc, 0.01003, 0.01092, 0.00994, 38.70101
20140403, 100000, nvc_btc, 0.01005, 0.01092, 0.00994, 36.31164
20140403, 110000, nvc_btc, 0.01004, 0.01092, 0.00994, 35.10319
20140403, 130000, nvc_btc, 0.01015, 0.0109, 0.00994, 33.57175
20140403, 140000, nvc_btc, 0.01004, 0.0108, 0.00994, 29.56375
20140403, 150000, nvc_btc, 0.01006, 0.0108, 0.00994, 29.25697
20140403, 160000, nvc_btc, 0.01015, 0.0108, 0.00994, 28.91868
20140403, 170000, nvc_btc, 0.01003, 0.0108, 0.00994, 22.9307
20140403, 180000, nvc_btc, 0.01009, 0.01075, 0.00994, 19.18165
20140403, 190000, nvc_btc, 0.01004, 0.01065, 0.00994, 18.48064
20140403, 200000, nvc_btc, 0.01019, 0.01052, 0.00994, 18.44223
20140403, 210000, nvc_btc, 0.01018, 0.01052, 0.00994, 18.1474
20140403, 220000, nvc_btc, 0.01001, 0.0104, 0.00994, 19.02421
20140403, 230000, nvc_btc, 0.01011, 0.0104, 0.00994, 20.38822
20140404, 000000, nvc_btc, 0.01011, 0.0104, 0.00994, 19.88259
20140404, 010000, nvc_btc, 0.00999, 0.0104, 0.00994, 13.30096
20140404, 020000, nvc_btc, 0.00999, 0.0104, 0.00994, 13.21166
20140404, 030000, nvc_btc, 0.00995, 0.0104, 0.00994, 12.6488
20140404, 040000, nvc_btc, 0.01, 0.0104, 0.00994, 12.84413
20140404, 050000, nvc_btc, 0.00993, 0.0104, 0.00992, 13.87769
20140404, 060000, nvc_btc, 0.01, 0.0104, 0.00992, 12.38874
20140404, 070000, nvc_btc, 0.01001, 0.0104, 0.00992, 12.10747
20140404, 080000, nvc_btc, 0.01002, 0.0104, 0.00992, 11.60459
20140404, 090000, nvc_btc, 0.01002, 0.0104, 0.00992, 19.33927
20140404, 100000, nvc_btc, 0.01018, 0.0104, 0.00992, 22.54189
20140404, 110000, nvc_btc, 0.0103, 0.0104, 0.00992, 28.24946
20140404, 120000, nvc_btc, 0.01013, 0.0104, 0.00992, 27.44834
20140404, 130000, nvc_btc, 0.01002, 0.0104, 0.00992, 27.20789
20140404, 140000, nvc_btc, 0.01003, 0.0104, 0.00992, 27.82498
20140404, 150000, nvc_btc, 0.01005, 0.0104, 0.00992, 27.84546
20140404, 160000, nvc_btc, 0.01002, 0.0104, 0.00992, 28.07303
20140404, 170000, nvc_btc, 0.01009, 0.0104, 0.00992, 25.96679
20140404, 180000, nvc_btc, 0.01012, 0.0104, 0.00992, 26.14769
20140404, 190000, nvc_btc, 0.01012, 0.0104, 0.00992, 26.14633
20140404, 200000, nvc_btc, 0.01002, 0.0104, 0.00992, 25.87939
20140404, 210000, nvc_btc, 0.01, 0.0104, 0.00992, 27.84181
20140404, 220000, nvc_btc, 0.01, 0.0104, 0.00992, 25.49445
20140404, 230000, nvc_btc, 0.00998, 0.0103, 0.00992, 23.56864
20140405, 000000, nvc_btc, 0.0101, 0.0103, 0.00992, 25.03336
20140405, 010000, nvc_btc, 0.0101, 0.0103, 0.00992, 24.90381
20140405, 020000, nvc_btc, 0.0101, 0.0103, 0.00992, 24.88823
20140405, 030000, nvc_btc, 0.0101, 0.0103, 0.00992, 24.94816
20140405, 040000, nvc_btc, 0.01011, 0.0103, 0.00992, 24.62327
20140405, 050000, nvc_btc, 0.01005, 0.0103, 0.00993, 23.55737
20140405, 060000, nvc_btc, 0.01005, 0.0103, 0.00995, 23.54611
20140405, 070000, nvc_btc, 0.01005, 0.0103, 0.00995, 23.36301
20140405, 080000, nvc_btc, 0.01006, 0.0103, 0.00995, 23.36685
20140405, 090000, nvc_btc, 0.01012, 0.0103, 0.00995, 15.50415
20140405, 100000, nvc_btc, 0.01005, 0.0103, 0.00995, 12.04156
20140405, 110000, nvc_btc, 0.01003, 0.01029, 0.00995, 6.51441
20140405, 120000, nvc_btc, 0.01006, 0.01026, 0.00995, 6.24372
20140405, 130000, nvc_btc, 0.01006, 0.01026, 0.00995, 6.29911
20140405, 140000, nvc_btc, 0.01, 0.01026, 0.00995, 5.58436
20140405, 150000, nvc_btc, 0.01001, 0.01026, 0.00995, 5.78144
20140405, 160000, nvc_btc, 0.00999, 0.01026, 0.00995, 5.51956
20140405, 170000, nvc_btc, 0.00992, 0.01026, 0.00992, 6.03018
20140405, 180000, nvc_btc, 0.00993, 0.01026, 0.00992, 5.85206
20140405, 190000, nvc_btc, 0.00993, 0.01026, 0.00992, 5.88149
20140405, 200000, nvc_btc, 0.00994, 0.01026, 0.00992, 5.83563
20140405, 210000, nvc_btc, 0.00998, 0.01026, 0.00992, 3.80348
20140405, 220000, nvc_btc, 0.0099, 0.01026, 0.0099, 4.6172
20140405, 230000, nvc_btc, 0.00997, 0.01026, 0.0099, 4.55531
20140406, 000000, nvc_btc, 0.00983, 0.01026, 0.00982, 3.42682
20140406, 010000, nvc_btc, 0.00984, 0.01024, 0.00982, 3.35071
20140406, 020000, nvc_btc, 0.00994, 0.01024, 0.00982, 3.54663
20140406, 030000, nvc_btc, 0.00998, 0.01012, 0.00982, 3.60886
20140406, 040000, nvc_btc, 0.0099, 0.01012, 0.00981, 4.59102
20140406, 050000, nvc_btc, 0.01003, 0.01012, 0.00981, 4.64524
20140406, 060000, nvc_btc, 0.00992, 0.01012, 0.00981, 4.71534
20140406, 070000, nvc_btc, 0.00994, 0.01012, 0.00981, 4.77095
20140406, 080000, nvc_btc, 0.00994, 0.01012, 0.00981, 4.76746
20140406, 100000, nvc_btc, 0.00999, 0.01011, 0.00981, 4.99897
20140406, 110000, nvc_btc, 0.00991, 0.01011, 0.00981, 4.78744
20140406, 120000, nvc_btc, 0.00991, 0.01006, 0.00981, 4.6869
20140406, 130000, nvc_btc, 0.00985, 0.01003, 0.00981, 4.58936
20140406, 140000, nvc_btc, 0.00981, 0.01003, 0.00981, 5.55184
20140406, 150000, nvc_btc, 0.0099, 0.01003, 0.00981, 6.39949
20140406, 160000, nvc_btc, 0.0099, 0.01003, 0.00981, 6.24128
20140406, 170000, nvc_btc, 0.00991, 0.01003, 0.00981, 5.87574
20140406, 180000, nvc_btc, 0.00994, 0.01003, 0.00981, 5.92886
20140406, 190000, nvc_btc, 0.00992, 0.01003, 0.00981, 6.17283
20140406, 200000, nvc_btc, 0.00996, 0.01003, 0.00981, 6.23922
20140406, 210000, nvc_btc, 0.00996, 0.01003, 0.00981, 6.29834
20140406, 220000, nvc_btc, 0.0099, 0.01003, 0.00981, 5.87479
20140406, 230000, nvc_btc, 0.0099, 0.01003, 0.00981, 5.87564
20140407, 000000, nvc_btc, 0.0099, 0.01003, 0.00981, 5.53858
20140407, 010000, nvc_btc, 0.0099, 0.01003, 0.00981, 5.48774
20140407, 020000, nvc_btc, 0.0099, 0.01003, 0.00981, 5.29884
20140407, 030000, nvc_btc, 0.0099, 0.01003, 0.00981, 5.04776
20140407, 040000, nvc_btc, 0.00992, 0.01003, 0.00981, 4.00475
20140407, 050000, nvc_btc, 0.00992, 0.01, 0.00981, 7.17806
