DATE, TIME, LAST, HIGH, LOW, VOLUME, before Sept 29 2014: 24 hour high low volume and after: high low total value of trades in the last interval - AS IS
20140401, 054500, ppc_usd, 2.07, 2.176, 1.95, 122927.65477
20140401, 060000, ppc_usd, 2.07, 2.176, 1.95, 122645.91152
20140401, 070000, ppc_usd, 2.086, 2.176, 1.95, 124480.42565
20140401, 080000, ppc_usd, 2.057, 2.176, 1.95, 124831.37633
20140401, 090000, ppc_usd, 2.099, 2.176, 1.95, 118383.47178
20140401, 100000, ppc_usd, 2.11, 2.176, 1.95, 119225.25557
20140401, 110000, ppc_usd, 2.104, 2.176, 1.95, 120861.51542
20140401, 120000, ppc_usd, 2.106, 2.176, 1.95, 114997.62968
20140401, 130000, ppc_usd, 2.096, 2.176, 1.95, 115625.00775
20140401, 140000, ppc_usd, 2.099, 2.176, 1.979, 113436.73169
20140401, 150000, ppc_usd, 2.084, 2.176, 1.979, 117191.9707
20140401, 160000, ppc_usd, 2.088, 2.176, 1.979, 122589.4049
20140401, 170000, ppc_usd, 2.069, 2.176, 1.979, 122362.17783
20140401, 180000, ppc_usd, 2.08, 2.176, 2, 121157.4237
20140401, 190000, ppc_usd, 2.07, 2.176, 2.021, 121462.11574
20140401, 200000, ppc_usd, 2.06, 2.176, 2.021, 123094.45423
20140401, 210000, ppc_usd, 2.068, 2.176, 2.023, 122919.05621
20140401, 220000, ppc_usd, 2.057, 2.176, 2.023, 125452.23826
20140401, 230000, ppc_usd, 2.035, 2.176, 2.023, 126170.42179
20140402, 000000, ppc_usd, 2.04, 2.176, 2.026, 122710.22627
20140402, 010000, ppc_usd, 2.07, 2.176, 2.026, 102845.38034
20140402, 020000, ppc_usd, 2.078, 2.15, 2.026, 91148.06408
20140402, 030000, ppc_usd, 2.119, 2.15, 2.026, 85869.40914
20140402, 040000, ppc_usd, 2.092, 2.15, 2.026, 67028.28564
20140402, 050000, ppc_usd, 2.107, 2.135, 2.026, 52024.92587
20140402, 060000, ppc_usd, 2.074, 2.135, 2.026, 48568.74799
20140402, 070000, ppc_usd, 2.019, 2.147, 2, 83704.92689
20140402, 080000, ppc_usd, 1.926, 2.147, 1.92, 106941.8414
20140402, 090000, ppc_usd, 1.888, 2.147, 1.87, 135128.82733
20140402, 100000, ppc_usd, 1.841, 2.147, 1.841, 144321.60071
20140402, 110000, ppc_usd, 1.768, 2.147, 1.71, 177311.58797
20140402, 120000, ppc_usd, 1.839, 2.147, 1.71, 194755.57006
20140402, 130000, ppc_usd, 1.782, 2.147, 1.71, 207364.88073
20140402, 140000, ppc_usd, 1.78, 2.147, 1.71, 211267.17155
20140402, 150000, ppc_usd, 1.794, 2.147, 1.71, 208602.98402
20140402, 160000, ppc_usd, 1.788, 2.147, 1.71, 205735.21192
20140402, 170000, ppc_usd, 1.762, 2.147, 1.71, 208038.01304
20140402, 180000, ppc_usd, 1.721, 2.147, 1.707, 217516.49544
